i, seq_time, seq_par
1,1.509739,0.279315
2,1.457675,0.278706
3,1.456243,0.292364
4,1.471780,0.280866
5,1.441893,0.280861
6,1.468626,0.282166
7,1.465718,0.281144
8,1.464861,0.279742
9,1.470694,0.281358
10,1.467208,0.283492
11,1.466414,0.282571
12,1.470059,0.283984
13,1.472093,0.283773
14,1.470855,0.288360
15,1.470728,0.285958
16,1.468803,0.285921
17,1.469721,0.396413
18,1.470486,0.282837
19,1.472102,0.396221
20,1.470553,0.285644
