Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,10,97.010002,3.436072,340.239990,0.979701,101.613998,3.280388,102.235970,3.260431
1000,10,10,41.571022,8.018406,184.128052,1.810334,46.636105,7.147538,43.197037,7.716579
1000,10,10,41.493000,8.033484,182.341003,1.828077,46.590031,7.154606,43.078007,7.737901
1000,10,10,41.981995,7.939912,183.763977,1.813921,46.290936,7.200834,43.668983,7.633183
1000,10,2,40.924965,8.144987,24.041058,13.865170,42.732002,7.800555,42.814972,7.785439
1000,10,2,40.762009,8.177549,24.225981,13.759334,42.685001,7.809144,42.790977,7.789804
1000,10,2,42.231976,7.892913,24.647982,13.523758,42.724014,7.802013,42.909027,7.768373
1000,10,2,40.700020,8.190004,24.125040,13.816903,42.561947,7.831722,42.784988,7.790895
1000,10,2,41.173042,8.095912,24.296999,13.719115,42.714001,7.803843,42.973042,7.756801
1000,10,2,41.133999,8.103597,24.174988,13.788356,42.665005,7.812804,42.672009,7.811522
1000,10,2,40.625988,8.204928,24.147003,13.804335,42.452007,7.852004,42.604000,7.823992
1000,10,4,40.574997,8.215240,22.895992,14.558589,43.935001,7.586966,42.630016,7.819217
1000,10,4,41.375996,8.056201,20.955027,15.907083,45.983017,7.249053,45.514999,7.323593
1000,10,4,40.620029,8.206132,20.739973,16.072023,44.140995,7.551559,42.688011,7.808593
1000,10,4,40.715038,8.186983,20.769001,16.049561,44.812084,7.438470,42.837025,7.781431
1000,10,4,40.605991,8.208969,22.900015,14.556031,43.885975,7.595441,44.978977,7.410870
1000,10,4,40.600986,8.209981,21.003008,15.870743,43.696045,7.628455,42.812943,7.785808
1000,10,4,41.243015,8.082176,21.017015,15.860166,44.313969,7.522083,42.859970,7.777265
1000,10,6,43.950020,7.584373,28.555988,11.672975,47.155975,7.068740,42.818008,7.784886
1000,10,6,40.603996,8.209373,28.285027,11.784799,46.326996,7.195229,45.145035,7.383610
1000,10,6,40.918991,8.146176,28.108999,11.858599,46.380013,7.187004,43.102028,7.733589
1000,10,6,40.697010,8.190610,28.319000,11.770660,46.222984,7.211420,42.896988,7.770554
1000,10,6,42.750954,7.797097,28.147995,11.842170,46.284019,7.201910,43.024956,7.747441
1000,10,6,40.633022,8.203508,28.165043,11.835002,46.382011,7.186695,42.990921,7.753575
1000,10,6,42.375996,7.866088,29.162004,11.430399,48.357994,6.893035,45.897007,7.262638
1000,10,8,44.294029,7.525469,25.140047,13.259058,46.736000,7.132260,43.114006,7.731440
1000,10,8,40.886044,8.152741,25.283993,13.183572,46.333969,7.194146,43.243050,7.708368
1000,10,8,40.872932,8.155356,25.066017,13.298217,46.285988,7.201604,43.398975,7.680673
1000,10,8,41.137993,8.102810,26.638000,12.513452,46.779991,7.125554,43.428005,7.675539
1000,10,8,41.106998,8.108919,24.949015,13.360581,46.234013,7.209700,43.516994,7.659843
1000,10,8,40.863991,8.157141,25.237978,13.207609,46.263039,7.205176,43.574989,7.649648
1000,10,8,40.941002,8.141798,25.233984,13.209699,46.468018,7.173392,43.514015,7.660367
1000,10,10,45.756012,7.285017,190.269974,1.751897,47.273041,7.051235,43.057026,7.741672
1000,10,10,41.575970,8.017452,203.746979,1.636016,46.249985,7.207210,42.695999,7.807133
1000,10,10,40.795998,8.170736,185.969009,1.792413,44.586987,7.476023,44.966011,7.413006
1000,10,10,41.173996,8.095725,182.813995,1.823347,45.807957,7.276756,43.887020,7.595260
1000,10,10,41.057049,8.118784,206.621048,1.613259,45.922043,7.258678,43.467999,7.668477
1000,10,10,41.409016,8.049777,217.368988,1.533491,49.579979,6.723144,44.063984,7.564757
1000,10,10,40.838005,8.162332,188.053970,1.772541,48.550011,6.865773,43.416023,7.677657
1000,10,2,40.767014,8.176545,24.416029,13.652233,42.751968,7.796912,42.858006,7.777621
1000,10,2,40.838005,8.162332,24.232983,13.755357,42.986988,7.754284,43.563961,7.651585
1000,10,2,42.600006,7.824725,24.839996,13.419218,43.703003,7.627241,44.541000,7.483741
1000,10,2,41.203022,8.090021,24.704992,13.492549,44.115036,7.556003,47.001957,7.091903
1000,10,2,41.662991,8.000706,24.691999,13.499650,44.210018,7.539770,45.413017,7.340039
1000,10,2,42.589962,7.826570,24.635017,13.530875,44.515015,7.488111,44.592022,7.475179
1000,10,2,41.365997,8.058148,24.712996,13.488180,45.092999,7.392130,44.523998,7.486599
1000,10,4,40.920002,8.145976,23.300007,14.306148,48.336998,6.896029,47.278004,7.050495
1000,10,4,44.771999,7.445129,25.550007,13.046310,49.562008,6.725582,46.898991,7.107473
1000,10,4,44.538975,7.484082,25.372028,13.137828,49.275993,6.764619,46.926022,7.103379
1000,10,4,44.520020,7.487268,25.269032,13.191378,48.940956,6.810928,46.984016,7.094611
1000,10,4,44.708996,7.455621,25.500990,13.071387,49.264000,6.766266,46.970993,7.096578
1000,10,4,45.230984,7.369579,25.926977,12.856622,49.356998,6.753517,46.827019,7.118398
1000,10,4,44.519009,7.487439,25.714039,12.963087,48.981964,6.805226,46.804012,7.121897
1000,10,6,44.862984,7.430030,33.577026,9.927423,51.980019,6.412721,46.979012,7.095367
1000,10,6,44.656990,7.464303,29.248997,11.396402,46.497002,7.168921,44.003994,7.575070
1000,10,6,42.470993,7.848494,28.521984,11.686892,46.606003,7.152154,44.637978,7.467483
1000,10,6,41.760983,7.981933,28.128983,11.850174,46.603977,7.152465,44.617950,7.470835
