Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,10,34.566998,9.643109,62.343002,5.346764,174.970978,1.905078,60.160995,5.540689
1000,10,10,36.032974,9.250786,71.098984,4.688300,107.967079,3.087361,94.524979,3.526405
1000,10,10,34.786999,9.582124,57.632000,5.783824,104.894997,3.177781,94.946983,3.510731
1000,10,10,36.659004,9.092810,73.897003,4.510783,104.218002,3.198424,97.712997,3.411351
1000,10,2,34.121990,9.768871,27.191998,12.258509,46.929001,7.102928,47.197998,7.062447
1000,10,2,34.151970,9.760296,24.668991,13.512240,49.363972,6.752563,48.133015,6.925253
1000,10,2,34.259998,9.729520,24.833002,13.422998,46.365009,7.189330,47.193989,7.063046
1000,10,2,34.244984,9.733786,24.970978,13.348829,46.474010,7.172468,47.329990,7.042751
1000,10,2,34.720005,9.600614,24.673998,13.509498,45.906006,7.261214,46.685040,7.140046
1000,10,2,34.534992,9.652046,25.013029,13.326387,47.469021,7.022124,47.284962,7.049458
1000,10,2,34.014000,9.799886,24.716999,13.485995,46.393997,7.184837,50.198994,6.640239
1000,10,4,34.035980,9.793557,23.279011,14.319051,52.972973,6.292517,54.065941,6.165311
1000,10,4,34.242004,9.734632,23.255005,14.333832,53.322002,6.251328,53.994984,6.173413
1000,10,4,34.208000,9.744309,24.378984,13.672978,53.014011,6.287646,57.472050,5.799921
1000,10,4,34.336029,9.707975,23.425997,14.229206,52.731991,6.321273,53.865017,6.188309
1000,10,4,35.007000,9.521905,23.160040,14.392606,53.042950,6.284216,54.039955,6.168275
1000,10,4,34.142002,9.763145,23.208008,14.362859,52.618996,6.334848,53.941010,6.179590
1000,10,4,34.325989,9.710815,23.201019,14.367186,54.034023,6.168952,54.136993,6.157219
1000,10,6,34.424007,9.683165,34.636974,9.623628,76.463013,4.359406,78.727005,4.234040
1000,10,6,34.236969,9.736065,34.430981,9.681204,75.555023,4.411796,78.664001,4.237432
1000,10,6,34.665943,9.615585,35.261036,9.453305,77.944038,4.276572,80.736038,4.128681
1000,10,6,34.324974,9.711102,31.333000,10.638412,53.130001,6.273919,55.113972,6.048073
1000,10,6,34.308018,9.715902,34.648003,9.620564,77.111008,4.322773,79.602005,4.187500
1000,10,6,34.237026,9.736048,34.566998,9.643109,79.933044,4.170156,80.708984,4.130065
1000,10,6,34.550995,9.647575,35.430996,9.407958,76.222000,4.373190,78.801987,4.230011
1000,10,8,34.178005,9.752861,30.622005,10.885418,76.328011,4.367117,78.792007,4.230547
1000,10,8,35.655022,9.348846,31.587006,10.552863,76.658012,4.348317,79.081001,4.215087
1000,10,8,34.852982,9.563983,32.016991,10.411139,77.889023,4.279593,80.520927,4.139710
1000,10,8,34.396999,9.690768,31.773001,10.491088,76.324997,4.367289,78.631996,4.239156
1000,10,8,35.093994,9.498302,30.961006,10.766231,76.728020,4.344350,78.913986,4.224008
1000,10,8,34.669041,9.614726,31.468033,10.592760,78.375992,4.253003,80.672028,4.131957
1000,10,8,35.639004,9.353048,30.654001,10.874056,77.574005,4.296972,79.802010,4.177004
1000,10,10,34.201996,9.746020,67.041992,4.972008,102.266014,3.259473,96.552017,3.452371
1000,10,10,36.926987,9.026822,69.625977,4.787486,103.947998,3.206732,94.730972,3.518737
1000,10,10,36.178997,9.213449,55.804001,5.973288,101.109993,3.296740,95.758003,3.480997
1000,10,10,37.114025,8.981331,84.887001,3.926789,188.557983,1.767803,49.715996,6.704750
1000,10,10,35.664974,9.346237,64.644035,5.156444,105.002045,3.174541,99.846008,3.338475
1000,10,10,37.883995,8.798790,93.076973,3.581265,151.868973,2.194875,75.629951,4.407425
1000,10,10,39.263962,8.489549,85.269035,3.909196,149.872009,2.224120,77.112976,4.322662
1000,10,2,36.552013,9.119425,26.273996,12.686815,48.545002,6.866481,50.057022,6.659072
